speaker_id_a,eng_name_a,thai_name_a,speaker_id_b,square_image_b,square_image_duplicate
41,Ellie,เอลลี่,396,square_ellie.webp,True
396,Ellie,เอลลี่,41,square_ellie.webp,True
85,Nora (South),โนรา (ใต้),265,square_nora.webp,True
265,Nora,โนรา,85,square_nora.webp,True
225,Annisa,อันนิสา,262,square_sara.webp,True
262,Sara,ซารา,225,square_sara.webp,True
271,Sofia,โซเฟีย,372,square_sofia.webp,True
372,Sofia,โซเฟีย,271,square_sofia.webp,True
352,Maria,มาเรีย,370,square_maria.webp,True
370,Maria,มาเรีย,352,square_maria.webp,True
